TRAIN	TARGET	AVG_ALL_MONOLINGUAL	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	RHO_MONOLINGUAL	P_MONOLINGUAL	AVG_ALL_MBERT	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	RHO_MBERT	P_MBERT	AVG_ALL_XLMR	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR	RHO_XLMR	P_XLMR
Nynorsk	East N.	0.5808504533547391	0.5854927749189843	0.624871051532055	0.5999761277051248	0.5848867762718333	0.5585108989968927	0.5313650907035445	-0.6178387709795412	0.0002748614947442002	0.48790236440238016	0.4736167089680074	0.5215481491710957	0.4987362361849783	0.4981524136958426	0.48330193814050704	0.4520587402538493	-0.3997780282808796	0.02860947946239925									
Nynorsk	North N.	0.6132969993792746	0.6255100279892062	0.6602067469885616	0.6270540387267877	0.6139799014297261	0.588144762791786	0.5648865183495808	0.20579761299679417	0.27525777049205835	0.5103371256693507	0.4894481595138217	0.5326022474479191	0.5209204816054902	0.5241606216612018	0.5119584092641307	0.48293283452354085	-0.18573067348464736	0.3257810168776635									
Nynorsk	Nynorsk	0.8834368224227305	0.942680197125134	0.9155569808513567	0.9029487317861005	0.8810594712428012	0.8581738009408655	0.8002017525901252	-0.7908258103180804	5.614605171259242e-14	0.8567874770922173	0.895314597595973	0.8785750941648558	0.8721166987466041	0.8609551102253749	0.8373427564114572	0.796420605409038	-0.6890283057039047	1.1556146391007704e-09									
Nynorsk	West N.	0.6024146607264793	0.6305300369126831	0.6443959653580287	0.6114292761737506	0.598855726276718	0.5801018267809264	0.5491751328567691	-0.3690087210289213	0.044780007650509	0.49928013871993254	0.48001203787558316	0.5303309350427104	0.5101112321471687	0.5103152317025006	0.49567085857223275	0.4692405369794	-0.2856512151523386	0.1259723356238822									
French	French																											
French	Picard										0.5017881014061356	0.4746549673490522	0.5052836463866641	0.5136152306067527	0.5114748264169673	0.5080453338275284	0.4976546038498483	0.2222970965956704	0.23773031298375674									
French	Occitan										0.6470357327201398	0.6595216864863	0.661546637285088	0.6533961414811597	0.6470016499116963	0.6383636015385372	0.6223846796180579	0.9090323599002489	3.7043626497269614e-12									
Spanish	Occitan	0.5077661541462182	0.46840594012910575	0.528980902745742	0.5100569583829769	0.5180434177004999	0.5150358771291628	0.5060738287898214	-0.1683393259074535	0.3738829264740907	0.6540528690446281	0.6731997019189632	0.6901023909147069	0.6670683358077976	0.6475969198081514	0.6337870021147298	0.6125628637034194	0.8350076496998853	9.596870343511872e-09									
Spanish	Spanish	0.866553629426459	0.9554070442719917	0.9326897309667368	0.8959999616648624	0.8663431515825181	0.8176121723239429	0.7312697157487028	-0.9758133284878232	5.357515215725048e-40	0.8706071299225133	0.954271971438948	0.9327078558887798	0.8819104657823036	0.8473933632251202	0.8309623037449038	0.7763968194550245	-0.9652489676665876	1.6996487054602701e-35									
MSA	Egyptian A.										0.3354384718450424	0.36957456901507924	0.366437485922692	0.35317296401106324	0.33701980214084787	0.3118762441383471	0.27454976584222496	nan	nan									
