SETUP_NAME	TRAIN_SET	DEV_SET	SUBTOKEN_RATIO_TRAIN	SUBTOKEN_RATIO_DEV	SUBTOKEN_RATIO_DIFF	UNK_RATIO_TRAIN	UNK_RATIO_DEV	UNK_RATIO_DIFF	TTR_TRAIN	TTR_DEV	TTR_DIFF	SPLIT_TOKEN_RATIO_TRAIN	SPLIT_TOKEN_RATIO_DEV	SPLIT_TOKEN_RATIO_DIFF	DEV_SUBTOKS_IN_TRAIN	DEV_SUBTOK_TYPES_IN_TRAIN	DEV_WORD_TOKENS_IN_TRAIN	DEV_WORD_TYPES_IN_TRAIN	F1_MACRO_AVG_DEV	F1_MACRO_STD_DEV	ACCURACY_AVG_DEV	ACCURACY_STD_DEV
C_hdt-full_hdt-noah_gbert_rand75	train_hdt-full_gbert_rand75	dev_hdt_gbert_orig	2.1640709920719834	1.3622284064252774	-0.801842585646706	0.011098676960524738	4.2936979812839964e-05	-0.011055739980711897	0.004329005124429074	0.0412514576210373	0.03692245249660823	0.5852431987667227	0.19458075002616657	-0.3906624487405561	0.9989582132792779	0.9843220553279725	0.919996666527772	0.5334458385305842	0.9270147018837939	0.005140712341007866	0.9801177187678933	0.0002237111100487423
C_hdt-full_hdt-noah_gbert_rand75	train_hdt-full_gbert_rand75	dev_noah_gbert_orig	2.1640709920719834	1.77613701404482	-0.38793397802716334	0.011098676960524738	0.0012096754202878433	-0.009889001540236895	0.004329005124429074	0.05107535579416401	0.04674635066973493	0.5852431987667227	0.47355259102716507	-0.11169060773955763	0.9826133946764366	0.9755611875452571	0.6143716205973015	0.2359472286323856	0.702203929256481	0.01651252797370536	0.7956236516532382	0.0018774744336753923
C_hdt-full_hdt-noah_gbert_rand95	train_hdt-full_gbert_rand95	dev_hdt_gbert_orig	2.3835007297752595	1.3622284064252774	-1.021272323349982	0.01277805156160645	4.2936979812839964e-05	-0.012735114581793609	0.0038409611965591678	0.0412514576210373	0.037410496424478135	0.6912692507716562	0.19458075002616657	-0.49668850074548965	0.9972407340867644	0.9665200020229606	0.8694112254677279	0.3491329762516203	0.9087019757859828	0.006642400743690952	0.9739990518467438	0.0008090597584041406
C_hdt-full_hdt-noah_gbert_rand95	train_hdt-full_gbert_rand95	dev_noah_gbert_orig	2.3835007297752595	1.77613701404482	-0.6073637157304395	0.01277805156160645	0.0012096754202878433	-0.011568376141318606	0.0038409611965591678	0.05107535579416401	0.04723439459760484	0.6912692507716562	0.47355259102716507	-0.21771665974449117	0.9802981552449841	0.9640658942795076	0.597756329273839	0.20442373840728	0.6928974893502872	0.009571509546771764	0.7844934618940695	0.0027089565432929503
C_hdt-full_hdt-noah_mbert_orig	train_hdt-full_mbert_orig	dev_hdt_mbert_orig	1.5525959832481713	1.5637910122459535	0.011195028997782241	1.1505673908031007e-06	0.0	-1.1505673908031007e-06	0.004927605770900942	0.026847608437505163	0.02192000266660422	0.26444830934719743	0.26789331428817703	0.0034450049409796013	0.9984881443349706	0.9607548201832353	0.9480360292789978	0.6766453885097953	0.9530706000249645	0.007496402327470697	0.9814155804975957	9.367707411423147e-05
C_hdt-full_hdt-noah_mbert_orig	train_hdt-full_mbert_orig	dev_noah_mbert_orig	1.5525959832481713	1.82621637092158	0.2736203876734087	1.1505673908031007e-06	0.0077926085950158165	0.007791458027625014	0.004927605770900942	0.04827129576246757	0.043343689991566625	0.26444830934719743	0.4628065695037647	0.19835826015656727	0.9502594321425816	0.8566495566962202	0.4605346944963865	0.2029698658770249	0.5483847890813053	0.008494265457680438	0.6240958126018229	0.015907847396352967
C_hdt-full_hdt-noah_mbert_rand15	train_hdt-full_mbert_rand15	dev_hdt_mbert_orig	1.7142249440810322	1.5637910122459535	-0.1504339318350787	0.0008485916860395124	0.0	-0.0008485916860395124	0.005137947249650066	0.026847608437505163	0.021709661187855098	0.3370731462311468	0.26789331428817703	-0.06917983194296978	0.9987302774688229	0.9675235881307261	0.9456887092517744	0.6635116296133245	0.9252452576480303	0.01443149900312854	0.980839300336779	0.00016168474332879383
C_hdt-full_hdt-noah_mbert_rand15	train_hdt-full_mbert_rand15	dev_noah_mbert_orig	1.7142249440810322	1.82621637092158	0.11199142684054775	0.0008485916860395124	0.0077926085950158165	0.006944016908976304	0.005137947249650066	0.04827129576246757	0.0431333485128175	0.3370731462311468	0.4628065695037647	0.12573342327261788	0.9789368104312939	0.9026598226784881	0.5895183706473948	0.23284271032921094	0.6751703128985783	0.007290923951290008	0.7780564484170667	0.0038829371909860307
C_hdt-full_hdt-noah_mbert_rand35	train_hdt-full_mbert_rand35	dev_hdt_mbert_orig	1.927551176723846	1.5637910122459535	-0.3637601644778925	0.0017611886370865481	0.0	-0.0017611886370865481	0.004775206728288186	0.026847608437505163	0.022072401709216975	0.4332015278368274	0.26789331428817703	-0.16530821354865038	0.9987086232861206	0.9667715028032271	0.9410774060030279	0.6379533837160956	0.9110627491290781	0.0005548996619492649	0.9807881985703819	0.00014505074415378563
C_hdt-full_hdt-noah_mbert_rand35	train_hdt-full_mbert_rand35	dev_noah_mbert_orig	1.927551176723846	1.82621637092158	-0.10133480580226606	0.0017611886370865481	0.0077926085950158165	0.0060314199579292686	0.004775206728288186	0.04827129576246757	0.04349608903417938	0.4332015278368274	0.4628065695037647	0.029605041666937282	0.9835709050227606	0.9146056929538031	0.6079850406832769	0.24107298380073158	0.6787913384098949	0.009869642809788026	0.7835639117608207	0.0034874730262425603
