TRAIN	TARGET	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR
Spanish	Spanish	3.847061238711696	4.072068380038629	4.6106370298118415	5.285661396937902	6.1247870792667305	7.647430721640816	4.28211212630972	4.141425429184098	4.412945127253623	4.785939028634845	5.23240870654234	5.853483000529605	4.0025970140930704	3.6776535206982084	3.8084580448583645	4.050432225018683	4.338449285804535	4.77300107289913
MSA	Egyptian A.	4.231547714883741	3.3960556308203254	3.3166952154644536	3.4054823574973625	3.5662152539358347	3.819160845148487	8.591953634170084	8.804972613309967	9.359167074644787	9.928555618845067	10.513517749609528	11.23633348412908	6.584534706874832	6.804926937188013	7.405834571083316	8.033487208292328	8.715170499142902	9.62807842221823
MSA	Gulf Arabic	5.436679634678831	4.3632419460557825	4.261279925765347	4.375353375820941	4.581862512328218	4.906846238634943	10.045879374739732	10.294945310158527	10.942920258088538	11.608660423357387	12.292609529074149	13.137739750711887	7.946568922123113	8.21255006218082	8.93775755840577	9.695242356158625	10.517934238722159	11.619680383775663
MSA	Levantine A.	4.973142962523922	3.9912276308144756	3.897958993019883	4.002306428122763	4.191208391807942	4.488483684820966	10.802612981799099	11.07044049663512	11.767225946995032	12.483114828751056	13.218584289680871	14.127376279213504	8.078879384611367	8.349289113661266	9.086571322905858	9.856668251114094	10.693057962833086	11.81314819367069
MSA	MSA	2.8212044561497267	2.2641756455453104	2.211265464087028	2.2704605146050683	2.3776223367646296	2.5462630510315525	5.499428160212757	5.635774633019907	5.990496359494054	6.3549433208491966	6.729358424975265	7.192009106567967	4.966194329223495	5.132418776828497	5.585635931371275	6.059024728969242	6.57316458000745	7.261698903616731
MSA	Maghrebi A.	4.651438064773318	3.7330413115096883	3.645806077100269	3.7434034386192456	3.9200856275321785	4.198130643341587	10.880422547382999	11.150179182758276	11.851983471920338	12.573028791566866	13.31379572629784	14.229133605239898	7.363922257096464	7.610401518326547	8.282436414745376	8.984382023755982	9.746753699395285	10.767719230398582
Finnish	Finnish	2.549720744137424	2.69487664094189	2.9719766736664015	3.347052835478253	3.876364481607337	4.930954748598768	3.7663723127459776	3.5740694968177835	3.6243338077449962	3.7328582488131987	3.893211822923457	4.110375572732357	3.753420737298385	3.60903803642514	3.703561365113592	3.8577636317158683	4.068948781100737	4.346625038035632
Finnish	Ostrobothnian F.	0.2713189272324217	0.28676514513412815	0.3162517011766871	0.3561640178832263	0.4124887225904293	0.5247089728149952	0.441675750059537	0.41912474250879334	0.4250191484215792	0.4377456156766562	0.4565499927373614	0.48201639757418385	0.4410644900211148	0.42409807810365796	0.4352055149408824	0.4533258240773388	0.4781421920607783	0.5107719304322126
Finnish	SE Finnish	0.3421934780869072	0.3616745923644429	0.3988636940313687	0.4492019974134144	0.520239970335462	0.661774651044381	0.6171374714861685	0.5856277683216742	0.5938638074531848	0.6116460375658661	0.6379207101295099	0.6735039919527053	0.6003175137320551	0.5772251214636274	0.5923430668365119	0.6170059884159232	0.6507826824475942	0.695193882750591
Finnish	SW Finnish	0.21437879328325415	0.2265834027748781	0.24988178585107165	0.28141793550331196	0.3259221002157945	0.4145913356078343	0.5183283394352821	0.49186361662721795	0.498780993522644	0.5137161323395529	0.5357839989468466	0.5656700846752966	0.4789635026277163	0.46053923075169034	0.4726010878568009	0.4922784069995836	0.5192271521395007	0.5546606411956247
Finnish	SW transition area	0.3541872823138418	0.3743512052529382	0.41284377654547555	0.4649464261075117	0.5384742639582208	0.6849697033035548	0.6815187318007233	0.6467218608728093	0.6558171033484465	0.6754544183307937	0.7044701277171181	0.7437655427938468	0.6523516554583774	0.6272576677265338	0.6436860018422905	0.6704866487545347	0.7071910289590848	0.7554516899856841
Finnish	Savonian F.	0.2200002785619854	0.23252491986057625	0.256434237980648	0.2887973351042442	0.3344684972745533	0.42546283578802957	0.36838440274492423	0.3495754927090956	0.3544917852640413	0.3651064319549281	0.3807904245933386	0.4020309530457354	0.360218274760496	0.3463617713056619	0.3554332377806089	0.3702321314638177	0.39049971015823554	0.41714848449389275
Finnish	Tavastian F.	0.28888472930664033	0.3053309703516796	0.3367265528398954	0.3792228833590428	0.43919417706343716	0.5586798205440932	0.47545770198036774	0.45118186110394837	0.45752710575334293	0.471226967868507	0.49146961397993616	0.5188838388265236	0.46904769615955055	0.45100485525527345	0.4628170001379604	0.48208694692906773	0.508477782040556	0.5431777045137469
